datetime;p
2017-10-05 00:00:00 ;4510.53071908
2017-10-06 00:00:00 ;3264.41177764
2017-10-07 00:00:00 ;4091.37809748
2017-10-08 00:00:00 ;3698.283087
2017-10-09 00:00:00 ;2563.15497506
2017-10-10 00:00:00 ;3823.14444277
2017-10-11 00:00:00 ;3890.41995556
2017-10-12 00:00:00 ;3774.99114594
2017-10-13 00:00:00 ;3028.01238412
2017-10-14 00:00:00 ;4818.43244568
2017-10-15 00:00:00 ;2705.8215067
2017-10-16 00:00:00 ;1911.8470851
2017-10-17 00:00:00 ;3919.7706766
2017-10-18 00:00:00 ;3397.14994039
2017-10-19 00:00:00 ;5170.5255845
2017-10-20 00:00:00 ;4150.04378422
2017-10-21 00:00:00 ;4871.71673939
2017-10-22 00:00:00 ;5026.08452448
2017-10-23 00:00:00 ;4921.1370123
2017-10-24 00:00:00 ;4390.69599083
2017-10-25 00:00:00 ;4654.98642377
2017-10-26 00:00:00 ;4665.59334961
2017-10-27 00:00:00 ;5635.55192648
2017-10-28 00:00:00 ;4497.95672554
2017-10-29 00:00:00 ;5088.25061053
2017-10-30 00:00:00 ;4700.02467564
2017-10-31 00:00:00 ;5216.04102962
2017-11-01 00:00:00 ;4799.04937443
2017-11-02 00:00:00 ;4560.83146223
2017-11-03 00:00:00 ;4500.53920672
2017-11-04 00:00:00 ;3675.87774447
2017-11-05 00:00:00 ;3354.59715053
2017-11-06 00:00:00 ;4105.53583871
2017-11-07 00:00:00 ;4202.33433641
2017-11-08 00:00:00 ;4239.59897919
2017-11-09 00:00:00 ;4089.20977524
2017-11-10 00:00:00 ;2885.54495897
2017-11-11 00:00:00 ;5431.20731002
2017-11-12 00:00:00 ;4922.7595889
2017-11-13 00:00:00 ;4550.91194648
2017-11-14 00:00:00 ;4982.53475614
2017-11-15 00:00:00 ;4625.11561075
