datetime;p
2017-10-01 00:00:00 ;940.372396557
2017-10-01 01:00:00 ;1644.08997501
2017-10-01 02:00:00 ;845.111080255
2017-10-01 03:00:00 ;1288.28381005
2017-10-01 04:00:00 ;933.251041377
2017-10-01 05:00:00 ;1344.23049153
2017-10-01 06:00:00 ;2146.3043599
2017-10-01 07:00:00 ;3919.0885865
2017-10-01 08:00:00 ;1016.89891697
2017-10-01 09:00:00 ;1712.2604832
2017-10-01 10:00:00 ;4062.64482088
2017-10-01 11:00:00 ;4545.18578173
2017-10-01 12:00:00 ;1953.91946681
2017-10-01 13:00:00 ;1539.73090808
2017-10-01 14:00:00 ;1798.60510969
2017-10-01 15:00:00 ;1758.29269647
2017-10-01 16:00:00 ;1226.697584
2017-10-01 17:00:00 ;1118.20438767
2017-10-01 18:00:00 ;3179.51069147
2017-10-01 19:00:00 ;3033.01777284
2017-10-01 20:00:00 ;4627.74645932
2017-10-01 21:00:00 ;3696.61760622
2017-10-01 22:00:00 ;1134.01527354
2017-10-01 23:00:00 ;1198.28908636
2017-10-02 00:00:00 ;2442.41960567
2017-10-02 01:00:00 ;1348.81727298
2017-10-02 02:00:00 ;1342.94973618
2017-10-02 03:00:00 ;1732.82893641
2017-10-02 04:00:00 ;2151.79755623
2017-10-02 05:00:00 ;1911.28047765
2017-10-02 06:00:00 ;1353.81755068
2017-10-02 07:00:00 ;2531.63732297
2017-10-02 08:00:00 ;1316.77728409
2017-10-02 09:00:00 ;1987.99694529
2017-10-02 10:00:00 ;1415.90169397
2017-10-02 11:00:00 ;2220.87559011
2017-10-02 12:00:00 ;1828.27686754
2017-10-02 13:00:00 ;2191.32046654
2017-10-02 14:00:00 ;3534.97278534
2017-10-02 15:00:00 ;2160.70869203
2017-10-02 16:00:00 ;1709.76562066
2017-10-02 17:00:00 ;1849.91641211
2017-10-02 18:00:00 ;2960.41432935
2017-10-02 19:00:00 ;1460.18828103
2017-10-02 20:00:00 ;3156.84115523
2017-10-02 21:00:00 ;4027.32907526
2017-10-02 22:00:00 ;2603.48208831
2017-10-02 23:00:00 ;908.963343516
2017-10-03 00:00:00 ;3910.65815051
2017-10-03 01:00:00 ;1607.25187448
2017-10-03 02:00:00 ;1431.93973896
2017-10-03 03:00:00 ;1010.86031658
2017-10-03 04:00:00 ;4759.00361011
2017-10-03 05:00:00 ;3933.70869203
2017-10-03 06:00:00 ;2458.50708137
2017-10-03 07:00:00 ;2507.28186615
2017-10-03 08:00:00 ;4391.27853374
2017-10-03 09:00:00 ;2138.53540683
2017-10-03 10:00:00 ;3595.85254096
2017-10-03 11:00:00 ;4219.63482366
2017-10-03 12:00:00 ;3820.5624653
2017-10-03 13:00:00 ;4739.17633991
2017-10-03 14:00:00 ;2773.49736184
2017-10-03 15:00:00 ;5538.72896418
2017-10-03 16:00:00 ;6338.97111913
2017-10-03 17:00:00 ;4254.33212996
2017-10-03 18:00:00 ;4894.08442099
2017-10-03 19:00:00 ;5978.35498196
2017-10-03 20:00:00 ;5902.2815534
2017-10-03 21:00:00 ;5226.98280166
2017-10-03 22:00:00 ;3112.48488211
2017-10-03 23:00:00 ;819.865742025
2017-10-04 00:00:00 ;835.127323162
2017-10-04 01:00:00 ;1673.39722607
2017-10-04 02:00:00 ;1394.43023578
2017-10-04 03:00:00 ;834.452704577
2017-10-04 04:00:00 ;1677.49431345
